name size count result
pipe_lat 1 100000 19
pipe_lat 64 100000 20
pipe_lat 256 100000 20
pipe_lat 1024 100000 22
pipe_lat 4096 100000 26
pipe_lat 8192 100000 36
pipe_lat 12288 100000 42
pipe_lat 16384 100000 50
pipe_lat 20480 100000 61
pipe_lat 24576 100000 70
pipe_lat 28672 100000 79
pipe_lat 32768 100000 86
pipe_lat 36864 100000 93
pipe_lat 40960 100000 106
pipe_lat 45056 100000 116
pipe_lat 49152 100000 127
pipe_lat 53248 100000 134
pipe_lat 57344 100000 144
pipe_lat 61440 100000 153
pipe_lat 65536 100000 158
pipe_lat 73728 100000 214
pipe_lat 79740 100000 227
pipe_lat 100000 100000 272
pipe_lat 105406 100000 284
pipe_lat 110000 100000 294
pipe_lat 131072 100000 341
unix_lat 1 100000 17
unix_lat 64 100000 18
unix_lat 256 100000 17
unix_lat 1024 100000 17
unix_lat 4096 100000 27
unix_lat 8192 100000 43
unix_lat 12288 100000 50
unix_lat 16384 100000 64
unix_lat 20480 100000 60
unix_lat 24576 100000 61
unix_lat 28672 100000 67
unix_lat 32768 100000 68
unix_lat 36864 100000 77
unix_lat 40960 100000 76
unix_lat 45056 100000 99
unix_lat 49152 100000 106
unix_lat 53248 100000 114
unix_lat 57344 100000 109
unix_lat 61440 100000 119
unix_lat 65536 100000 134
unix_lat 73728 100000 143
unix_lat 79740 100000 160
unix_lat 100000 100000 190
unix_lat 105406 100000 194
unix_lat 110000 100000 209
unix_lat 131072 100000 239
tcp_lat 1 100000 33
tcp_lat 64 100000 33
tcp_lat 256 100000 33
tcp_lat 1024 100000 35
tcp_lat 4096 100000 40
tcp_lat 8192 100000 48
tcp_lat 12288 100000 56
tcp_lat 16384 100000 63
tcp_lat 20480 100000 77
tcp_lat 24576 100000 84
tcp_lat 28672 100000 91
tcp_lat 32768 100000 96
tcp_lat 36864 100000 108
tcp_lat 40960 100000 115
tcp_lat 45056 100000 121
tcp_lat 49152 100000 123
tcp_lat 53248 100000 131
tcp_lat 57344 100000 133
tcp_lat 61440 100000 136
tcp_lat 65536 100000 139
tcp_lat 73728 100000 153
tcp_lat 79740 100000 164
tcp_lat 100000 100000 193
tcp_lat 105406 100000 204
tcp_lat 110000 100000 200
tcp_lat 131072 100000 224
tcp_thr 1 100000 0
tcp_thr 64 100000 33
tcp_thr 256 100000 131
tcp_thr 1024 100000 522
tcp_thr 4096 100000 1532
tcp_thr 8192 100000 2495
tcp_thr 12288 100000 3114
tcp_thr 16384 100000 3588
tcp_thr 20480 100000 3149
tcp_thr 24576 100000 3466
tcp_thr 28672 100000 3717
tcp_thr 32768 100000 4297
tcp_thr 36864 100000 4013
tcp_thr 40960 100000 4188
tcp_thr 45056 100000 4300
tcp_thr 49152 100000 4838
tcp_thr 53248 100000 4495
tcp_thr 57344 100000 4578
tcp_thr 61440 100000 4658
tcp_thr 65536 100000 4874
tcp_thr 73728 100000 4711
tcp_thr 79740 100000 4752
tcp_thr 100000 100000 4898
tcp_thr 105406 100000 4852
tcp_thr 110000 100000 4981
tcp_thr 131072 100000 5160
pipe_thr 1 100000 2
pipe_thr 64 100000 171
pipe_thr 256 100000 647
pipe_thr 1024 100000 2137
pipe_thr 4096 100000 3953
pipe_thr 8192 100000 4197
pipe_thr 12288 100000 4291
pipe_thr 16384 100000 4315
pipe_thr 20480 100000 4441
pipe_thr 24576 100000 4444
pipe_thr 28672 100000 4453
pipe_thr 32768 100000 4467
pipe_thr 36864 100000 4216
pipe_thr 40960 100000 4283
pipe_thr 45056 100000 4232
pipe_thr 49152 100000 4238
pipe_thr 53248 100000 4184
pipe_thr 57344 100000 4203
pipe_thr 61440 100000 4198
pipe_thr 65536 100000 4056
pipe_thr 73728 100000 3924
pipe_thr 79740 100000 3934
pipe_thr 100000 100000 3952
pipe_thr 105406 100000 3821
pipe_thr 110000 100000 3812
pipe_thr 131072 100000 3581
unix_thr 1 100000 1
unix_thr 64 100000 94
unix_thr 256 100000 362
unix_thr 1024 100000 1297
unix_thr 4096 100000 3224
unix_thr 8192 100000 4355
unix_thr 12288 100000 5055
unix_thr 16384 100000 5001
unix_thr 20480 100000 5429
unix_thr 24576 100000 5682
unix_thr 28672 100000 5837
unix_thr 32768 100000 5538
unix_thr 36864 100000 5702
unix_thr 40960 100000 5929
unix_thr 45056 100000 5967
unix_thr 49152 100000 5943
unix_thr 53248 100000 6054
unix_thr 57344 100000 6191
unix_thr 61440 100000 6065
unix_thr 65536 100000 6029
unix_thr 73728 100000 6041
unix_thr 79740 100000 6131
unix_thr 100000 100000 6116
unix_thr 105406 100000 6239
unix_thr 110000 100000 6177
unix_thr 131072 100000 6263
